# Wavelength[um]	NEP[W Hz^-0.5]	NEI[Jy/sr s^1/2]
3.17708639e+02	1.71112035e-17	8.21975767e+07
3.18418862e+02	1.70492095e-17	8.12855646e+07
3.19130673e+02	1.69586226e-17	8.06052435e+07
3.19844076e+02	1.69083982e-17	8.03173652e+07
3.20559073e+02	1.68709201e-17	8.02623784e+07
3.21275668e+02	1.69414234e-17	8.08621958e+07
3.21993865e+02	1.67923190e-17	8.00812607e+07
3.22713668e+02	1.64073445e-17	7.83558230e+07
3.23435080e+02	1.66244230e-17	8.00740072e+07
3.24158104e+02	1.64765889e-17	7.99325134e+07
3.24882745e+02	1.61657968e-17	7.88473640e+07
3.25609005e+02	1.60756167e-17	7.89341339e+07
3.26336890e+02	1.61354102e-17	7.97998375e+07
3.27066401e+02	1.63477403e-17	8.16091269e+07
3.27797543e+02	1.67342515e-17	8.37870234e+07
3.28530320e+02	1.59192565e-17	8.01074858e+07
3.29264734e+02	1.58220581e-17	8.01800857e+07
3.30000791e+02	1.60611118e-17	8.20346320e+07
3.30738493e+02	1.59496833e-17	8.20197551e+07
3.31477844e+02	1.55684850e-17	8.03548107e+07
3.32218847e+02	1.54502184e-17	7.99905521e+07
3.32961507e+02	1.54659289e-17	8.01830914e+07
3.33705828e+02	1.53294206e-17	7.92856442e+07
3.34451812e+02	1.53955608e-17	7.92338173e+07
3.35199464e+02	1.57440844e-17	8.10073613e+07
3.35948787e+02	1.55077072e-17	7.95201724e+07
3.36699785e+02	1.53993188e-17	7.83888461e+07
3.37452463e+02	1.54093785e-17	7.80807602e+07
3.38206822e+02	1.56037050e-17	7.88289780e+07
3.38962868e+02	1.54700200e-17	7.78698166e+07
3.39720605e+02	1.54648384e-17	7.72322091e+07
3.40480035e+02	1.53405508e-17	7.58940576e+07
3.41241162e+02	1.53176206e-17	7.49293512e+07
3.42003991e+02	1.53013044e-17	7.40640792e+07
3.42768526e+02	1.52729005e-17	7.29001844e+07
3.43534769e+02	1.52598172e-17	7.20053250e+07
3.44302726e+02	1.52804435e-17	7.14824911e+07
3.45072399e+02	1.53775007e-17	7.11989752e+07
3.45843793e+02	1.53868871e-17	7.08199139e+07
3.46616911e+02	1.54103598e-17	7.05985815e+07
3.47391757e+02	1.53849077e-17	7.01681958e+07
3.48168336e+02	1.53566664e-17	6.96172148e+07
3.48946650e+02	1.51686946e-17	6.85703098e+07
3.49726705e+02	1.54226055e-17	6.99615043e+07
3.50508503e+02	1.53291348e-17	6.96655640e+07
3.51292049e+02	1.52569284e-17	6.91261402e+07
3.52077346e+02	1.53167827e-17	6.92919456e+07
3.52864399e+02	1.53675608e-17	6.95185848e+07
3.53653212e+02	1.53396813e-17	6.93552588e+07
3.54443787e+02	1.52323488e-17	6.87093139e+07
3.55236131e+02	1.53891313e-17	6.95910080e+07
3.56030245e+02	1.83719340e-17	8.35411108e+07
