# Wavelength[um]	NEP[W Hz^-0.5]	NEI[Jy/sr s^1/2]
2.40530610e+02	2.25036512e-17	1.74338309e+08
2.41062393e+02	2.41520630e-17	1.62162839e+08
2.41595352e+02	2.37690322e-17	1.56502137e+08
2.42129490e+02	2.36964881e-17	1.53335043e+08
2.42664808e+02	2.37369887e-17	1.51030328e+08
2.43201310e+02	2.39667861e-17	1.50336268e+08
2.43738998e+02	2.51707168e-17	1.56131228e+08
2.44277874e+02	3.25324321e-17	2.00028108e+08
2.44817942e+02	2.41559087e-17	1.47447233e+08
2.45359204e+02	2.35772296e-17	1.43392064e+08
2.45901663e+02	2.44063581e-17	1.48497138e+08
2.46445321e+02	2.34027183e-17	1.41876330e+08
2.46990181e+02	2.66058553e-17	1.61278196e+08
2.47536246e+02	2.78026256e-17	1.68460860e+08
2.48083517e+02	2.70171673e-17	1.63793241e+08
2.48631999e+02	3.11461932e-17	1.89381011e+08
2.49181694e+02	2.36929837e-17	1.44151594e+08
2.49732603e+02	2.30275256e-17	1.41202317e+08
2.50284731e+02	2.30959355e-17	1.43087439e+08
2.50838080e+02	2.35713744e-17	1.47488217e+08
2.51392651e+02	2.33772881e-17	1.47457205e+08
2.51948449e+02	2.33563137e-17	1.48461268e+08
2.52505476e+02	2.32421391e-17	1.48857596e+08
2.53063734e+02	2.32859193e-17	1.49987625e+08
2.53623227e+02	2.34403347e-17	1.50917760e+08
2.54183956e+02	2.50208048e-17	1.60319740e+08
2.54745925e+02	2.42540554e-17	1.54885194e+08
2.55309137e+02	2.37991963e-17	1.50960897e+08
2.55873594e+02	2.42323196e-17	1.52458738e+08
2.56439298e+02	2.51022647e-17	1.56993479e+08
2.57006254e+02	2.45127036e-17	1.52179130e+08
2.57574463e+02	2.69309297e-17	1.66294873e+08
2.58143928e+02	3.70633834e-17	2.28405334e+08
2.58714652e+02	2.65758110e-17	1.63046382e+08
2.59286638e+02	2.63409849e-17	1.60756522e+08
2.59859888e+02	2.64543257e-17	1.60476385e+08
2.60434406e+02	2.93988920e-17	1.77762566e+08
2.61010194e+02	2.51517301e-17	1.51719266e+08
2.61587255e+02	2.52742788e-17	1.51882171e+08
2.62165592e+02	2.56603791e-17	1.54439777e+08
2.62745208e+02	2.47861527e-17	1.49788212e+08
2.63326105e+02	2.45149300e-17	1.48385580e+08
2.63908286e+02	2.45792065e-17	1.49560535e+08
2.64491755e+02	2.44320706e-17	1.49540586e+08
2.65076513e+02	2.43132932e-17	1.49038800e+08
2.65662564e+02	2.42599800e-17	1.48700290e+08
2.66249911e+02	2.46758399e-17	1.51158514e+08
2.66838557e+02	2.42222208e-17	1.48075068e+08
2.67428504e+02	2.55815609e-17	1.56184783e+08
2.68019755e+02	2.68554075e-17	1.63275861e+08
2.68612313e+02	2.43648032e-17	1.47730915e+08
2.69206182e+02	2.70968073e-17	1.63977020e+08
2.69801363e+02	2.91073795e-17	1.74936163e+08
