	FP3194  TIM-JPL 42cm-1 LPE	03 Aug 2022		
13.061873	0.642453149		4272	0.062497
13.12437	0.6460164927		-0.001183197747	0.947917494
13.186867	0.6593447441			
13.249364	0.6584335088			
13.311861	0.639415662			
13.374358	0.6216782331			
13.436855	0.6170437419			
13.499352	0.6154489719			
13.561849	0.6107846961			
13.624346	0.6137127482			
13.686843	0.6301774024			
13.74934	0.646919282			
13.811837	0.6532790282			
13.874334	0.6511320926			
13.936831	0.6448017948			
13.999328	0.6395788113			
14.061825	0.6408560354			
14.124322	0.6484150428			
14.186819	0.6553355107			
14.249316	0.6561401011			
14.311813	0.6546201892			
14.37431	0.6559077919			
14.436807	0.6590457674			
14.499304	0.6619430692			
14.561801	0.6662107807			
14.624298	0.6731506524			
14.686795	0.6800438434			
14.749292	0.6838633313			
14.811789	0.6863219337			
14.874286	0.6902687523			
14.936783	0.6915273992			
14.99928	0.6836687342			
15.061777	0.6709600393			
15.124274	0.6644579522			
15.186771	0.667556199			
15.249268	0.6720398509			
15.311765	0.6703880517			
15.374262	0.6639065658			
15.436759	0.6577598835			
15.499256	0.6560806759			
15.561753	0.6596476716			
15.62425	0.666106507			
15.686747	0.6715368132			
15.749244	0.6745615735			
15.811741	0.6786380077			
15.874238	0.6862287564			
15.936735	0.6943811698			
15.999232	0.6998122197			
16.061729	0.7038141874			
16.124226	0.7079853311			
16.186723	0.7112956118			
16.24922	0.7142702107			
16.311717	0.720246336			
16.374214	0.7300062544			
16.436711	0.739849772			
16.499208	0.7467165485			
16.561705	0.7529940031			
16.624202	0.7617162223			
16.686699	0.7714902339			
16.749196	0.7794426412			
16.811693	0.7848423462			
16.87419	0.7873332035			
16.936687	0.7861107063			
16.999184	0.7837280565			
17.061681	0.7854507561			
17.124178	0.7920621751			
17.186675	0.7988667157			
17.249172	0.8023411602			
17.311669	0.8051606663			
17.374166	0.8106603977			
17.436663	0.8159305546			
17.49916	0.8172414234			
17.561657	0.8182001314			
17.624154	0.8243946264			
17.686651	0.8337854881			
17.749148	0.8405382959			
17.811645	0.8440914497			
17.874142	0.8486026685			
17.936639	0.8542176555			
17.999136	0.8563965969			
18.061633	0.8539148307			
18.12413	0.8503607915			
18.186627	0.8487567532			
18.249124	0.8499663704			
18.311621	0.8547832144			
18.374118	0.8628292399			
18.436615	0.8716998104			
18.499112	0.8800522583			
18.561609	0.8884611799			
18.624106	0.8948472607			
18.686603	0.894894619			
18.7491	0.8908151256			
18.811597	0.8917371668			
18.874094	0.9014578324			
18.936591	0.9139240718			
18.999088	0.9224288429			
19.061585	0.9265108101			
19.124082	0.9283113581			
19.186579	0.9286084078			
19.249076	0.9284389972			
19.311573	0.9299920343			
19.37407	0.9330779764			
19.436567	0.9339234701			
19.499064	0.9306464657			
19.561561	0.9268009896			
19.624058	0.925650808			
19.686555	0.9248656606			
19.749052	0.9214329402			
19.811549	0.9179895627			
19.874046	0.9178950716			
19.936543	0.919067018			
19.99904	0.9182087332			
20.061537	0.9162634753			
20.124034	0.9148140262			
20.186531	0.9118808463			
20.249028	0.9058058801			
20.311525	0.9002135121			
20.374022	0.9001808106			
20.436519	0.9042818004			
20.499016	0.9057855588			
20.561513	0.9033143844			
20.62401	0.9008572303			
20.686507	0.8988888848			
20.749004	0.895811706			
20.811501	0.8933128834			
20.873998	0.8932396432			
20.936495	0.8936421766			
20.998992	0.8924636089			
21.061489	0.8912646196			
21.123986	0.8922119593			
21.186483	0.8942125637			
21.24898	0.8949457037			
21.311477	0.8943773171			
21.373974	0.893349652			
21.436471	0.8917835374			
21.498968	0.8902545981			
21.561465	0.8902361674			
21.623962	0.8910258222			
21.686459	0.8896405024			
21.748956	0.8851934502			
21.811453	0.880654743			
21.87395	0.8783791848			
21.936447	0.8772921289			
21.998944	0.8757458469			
22.061441	0.874361974			
22.123938	0.8740603439			
22.186435	0.8730101829			
22.248932	0.8688251747			
22.311429	0.8628273001			
22.373926	0.8584000362			
22.436423	0.8556427018			
22.49892	0.8519193222			
22.561417	0.8472784175			
22.623914	0.8451770782			
22.686411	0.8465649828			
22.748908	0.8479880784			
22.811405	0.8467913724			
22.873902	0.8436191749			
22.936399	0.8403695552			
22.998896	0.838781915			
23.061393	0.8398293099			
23.12389	0.842298243			
23.186387	0.8436308698			
23.248884	0.8435233258			
23.311381	0.8441929374			
23.373878	0.8464677057			
23.436375	0.8481849973			
23.498872	0.8479786538			
23.561369	0.8480773605			
23.623866	0.8501916175			
23.686363	0.852471806			
23.74886	0.8535555306			
23.811357	0.8553658633			
23.873854	0.8592274316			
23.936351	0.8634648126			
23.998848	0.8663656301			
24.061345	0.8682667404			
24.123842	0.8695965536			
24.186339	0.8692787767			
24.248836	0.8667359765			
24.311333	0.8642817329			
24.37383	0.8648670518			
24.436327	0.8676213518			
24.498824	0.8688074361			
24.561321	0.8674014678			
24.623818	0.8664574097			
24.686315	0.8679766858			
24.748812	0.8702400594			
24.811309	0.8714002776			
24.873806	0.8722315696			
24.936303	0.8742740764			
24.9988	0.8775638423			
25.061297	0.8811647609			
25.123794	0.8843776129			
25.186291	0.8866087881			
25.248788	0.8873486425			
25.311285	0.8870376774			
25.373782	0.8869793701			
25.436279	0.8879614675			
25.498776	0.8899788802			
25.561273	0.8934583421			
25.62377	0.8989323707			
25.686267	0.9055230759			
25.748764	0.9114114023			
25.811261	0.9155026958			
25.873758	0.917736141			
25.936255	0.918792637			
25.998752	0.9198850235			
26.061249	0.9216807468			
26.123746	0.9235494362			
26.186243	0.9248065684			
26.24874	0.9262575344			
26.311237	0.9292803297			
26.373734	0.9335291877			
26.436231	0.9372132558			
26.498728	0.9395235753			
26.561225	0.9410772207			
26.623722	0.9420122789			
26.686219	0.9416263347			
26.748716	0.9404633708			
26.811213	0.9407498184			
26.87371	0.9433597172			
26.936207	0.9463231255			
26.998704	0.9477019169			
27.061201	0.9478595493			
27.123698	0.947917494			
27.186195	0.9476375542			
27.248692	0.9461667993			
27.311189	0.9439303716			
27.373686	0.9421032993			
27.436183	0.940583529			
27.49868	0.9384485527			
27.561177	0.9364987901			
27.623674	0.9363847339			
27.686171	0.9375601301			
27.748668	0.9380786766			
27.811165	0.9377706158			
27.873662	0.9382028499			
27.936159	0.9399426357			
27.998656	0.9418930444			
28.061153	0.9429553987			
28.12365	0.942806979			
28.186147	0.9416717669			
28.248644	0.9403407888			
28.311141	0.9395520634			
28.373638	0.9390261465			
28.436135	0.9380931693			
28.498632	0.9370414444			
28.561129	0.9367247848			
28.623626	0.9369948523			
28.686123	0.9370415587			
28.74862	0.937149744			
28.811117	0.9381926891			
28.873614	0.9395484923			
28.936111	0.9393755634			
28.998608	0.9371117492			
29.061105	0.9344200491			
29.123602	0.9328179697			
29.186099	0.9315106446			
29.248596	0.9287988217			
29.311093	0.9247342231			
29.37359	0.921056452			
29.436087	0.9187737156			
29.498584	0.9174126227			
29.561081	0.9166166901			
29.623578	0.9164209402			
29.686075	0.9162316823			
29.748572	0.9152239428			
29.811069	0.9135586516			
29.873566	0.9120297973			
29.936063	0.9105262713			
29.99856	0.9082328645			
30.061057	0.9053229578			
30.123554	0.9029842141			
30.186051	0.9019498609			
30.248548	0.9019777801			
30.311045	0.9025928647			
30.373542	0.9033677276			
30.436039	0.9036218911			
30.498536	0.9027815291			
30.561033	0.9009500132			
30.62353	0.8987635829			
30.686027	0.8971100234			
30.748524	0.8968707336			
30.811021	0.8980381883			
30.873518	0.8993795297			
30.936015	0.8998768392			
30.998512	0.900137848			
31.061009	0.9012761476			
31.123506	0.9028581805			
31.186003	0.9034486342			
31.2485	0.902918162			
31.310997	0.9027962562			
31.373494	0.903945029			
31.435991	0.9051770302			
31.498488	0.9050530501			
31.560985	0.9039611437			
31.623482	0.9033003349			
31.685979	0.9033432195			
31.748476	0.9032561179			
31.810973	0.9028738559			
31.87347	0.9030037027			
31.935967	0.9039468199			
31.998464	0.9049874498			
32.060961	0.9055419321			
32.123458	0.9058127251			
32.185955	0.9061830787			
32.248452	0.9066884281			
32.310949	0.9072659919			
32.373446	0.9080278965			
32.435943	0.9090859769			
32.49844	0.9103779049			
32.560937	0.9116399758			
32.623434	0.9125044625			
32.685931	0.9130542584			
32.748428	0.9142233257			
32.810925	0.9167131782			
32.873422	0.9196082556			
32.935919	0.9212178036			
32.998416	0.9215140421			
33.060913	0.9222197672			
33.12341	0.9239416854			
33.185907	0.9256533381			
33.248404	0.9269197347			
33.310901	0.928548423			
33.373398	0.9308182716			
33.435895	0.9328100746			
33.498392	0.9339921703			
33.560889	0.9348904811			
33.623386	0.9358772945			
33.685883	0.9364936758			
33.74838	0.9364690763			
33.810877	0.9366543613			
33.873374	0.9378661417			
33.935871	0.9394163496			
33.998368	0.94021353			
34.060865	0.9403433401			
34.123362	0.9405863034			
34.185859	0.941134147			
34.248356	0.941597451			
34.310853	0.941939354			
34.37335	0.9424688678			
34.435847	0.9431122429			
34.498344	0.9434600135			
34.560841	0.943429535			
34.623338	0.9432231992			
34.685835	0.9427671152			
34.748332	0.9419389221			
34.810829	0.9411222526			
34.873326	0.9407274933			
34.935823	0.9404707957			
34.99832	0.9400338825			
35.060817	0.9399179914			
35.123314	0.9405052251			
35.185811	0.9411797154			
35.248308	0.941263467			
35.310805	0.9410047904			
35.373302	0.940962322			
35.435799	0.9410683584			
35.498296	0.9409849101			
35.560793	0.9408193108			
35.62329	0.9406517496			
35.685787	0.9399537421			
35.748284	0.9384745236			
35.810781	0.9370789401			
35.873278	0.9367460599			
35.935775	0.937227592			
35.998272	0.9373340042			
36.060769	0.9362795937			
36.123266	0.9344335633			
36.185763	0.9327261301			
36.24826	0.9315422582			
36.310757	0.9305627105			
36.373254	0.9297410947			
36.435751	0.9298729103			
36.498248	0.9316236365			
36.560745	0.933776992			
36.623242	0.9332046711			
36.685739	0.9284989849			
36.748236	0.9222523484			
36.810733	0.9177325851			
36.87323	0.9156671355			
36.935727	0.9148712138			
36.998224	0.9147963495			
37.060721	0.9157849631			
37.123218	0.916710457			
37.185715	0.9152195734			
37.248212	0.9112630713			
37.310709	0.9075381611			
37.373206	0.9056294211			
37.435703	0.9041726132			
37.4982	0.9015152264			
