PRIMA Balloon Configuration 1			
Sawtooth 26 deg			
Wavelength	UnPol	TM Pol	TE Pol
317	0.7557641978	0.7060877681	0.8054406274
317.5	0.7568898662	0.7092320045	0.804547728
318	0.7580009802	0.7123614292	0.8036405312
318.5	0.7590975107	0.71547579	0.8027192315
319	0.7601794283	0.7185748349	0.8017840216
319.5	0.7612467027	0.7216583129	0.8008350924
320	0.7622993035	0.7247259744	0.7998726327
320.5	0.7633372006	0.7277775717	0.7988968295
321	0.7643603637	0.7308128594	0.7979078679
321.5	0.7653687632	0.7338315952	0.7969059313
322	0.7663623702	0.7368335394	0.795891201
322.5	0.7673411565	0.7398184564	0.7948638566
323	0.7683050951	0.7427861141	0.793824076
323.5	0.7692541599	0.7457362848	0.7927720351
324	0.7701883266	0.748668745	0.7917079081
324.5	0.7711075719	0.7515832764	0.7906318674
325	0.7720118744	0.7544796653	0.7895440836
325.5	0.7729012145	0.7573577034	0.7884447256
326	0.7737755742	0.7602171878	0.7873339606
326.5	0.7746349377	0.7630579214	0.7862119539
327	0.775479291	0.7658797128	0.7850788693
327.5	0.7763086226	0.7686823765	0.7839348687
328	0.7771229229	0.7714657332	0.7827801125
328.5	0.7779221846	0.7742296099	0.7816147593
329	0.7787064029	0.7769738398	0.7804389661
329.5	0.7794755754	0.7796982627	0.7792528881
330	0.780229702	0.7824027249	0.778056679
330.5	0.7809687851	0.7850870793	0.7768504909
331	0.7816928297	0.7877511853	0.7756344742
331.5	0.7824018435	0.7903949092	0.7744087777
332	0.7830958364	0.793018124	0.7731735488
332.5	0.7837748212	0.7956207094	0.771928933
333	0.7844388132	0.7982025519	0.7706750745
333.5	0.7850878303	0.8007635448	0.7694121158
334	0.7857218931	0.8033035881	0.7681401981
334.5	0.7863410246	0.8058225886	0.7668594607
335	0.7869452508	0.8083204598	0.7655700417
335.5	0.7875345998	0.810797122	0.7642720777
336	0.7881091028	0.813252502	0.7629657035
336.5	0.7886687931	0.8156865333	0.7616510529
337	0.7892137069	0.8180991559	0.7603282579
337.5	0.7897438827	0.8204903164	0.7589974491
338	0.7902593618	0.8228599678	0.7576587557
338.5	0.7907601875	0.8252080693	0.7563123057
339	0.7912464061	0.8275345867	0.7549582254
339.5	0.7917180658	0.8298394918	0.7535966397
340	0.7921752175	0.8321227626	0.7522276724
340.5	0.7926179144	0.8343843831	0.7508514457
341	0.7930462119	0.8366243433	0.7494680806
341.5	0.7934601677	0.8388426389	0.7480776965
342	0.7938598418	0.8410392717	0.7466804118
342.5	0.7942452962	0.8432142489	0.7452763435
343	0.7946165952	0.8453675834	0.743865607
343.5	0.7949738051	0.8474992933	0.7424483169
344	0.7953169942	0.8496094023	0.7410245861
344.5	0.795646233	0.8516979394	0.7395945266
345	0.7959615937	0.8537649386	0.7381582488
345.5	0.7962631505	0.8558104388	0.7367158621
346	0.7965509794	0.857834484	0.7352674747
346.5	0.7968251582	0.8598371231	0.7338131934
347	0.7970857666	0.8618184094	0.7323531239
347.5	0.7973328859	0.8637784009	0.7308873708
348	0.7975665988	0.8657171603	0.7294160374
348.5	0.7977869901	0.8676347542	0.7279392259
349	0.7979941456	0.8695312538	0.7264570375
349.5	0.7981881531	0.8714067343	0.7249695719
350	0.7983691015	0.8732612749	0.7234769281
350.5	0.7985370813	0.8750949588	0.7219792038
351	0.7986921841	0.8769078728	0.7204764955
351.5	0.7988345032	0.8787001075	0.7189688989
352	0.7989641327	0.880471757	0.7174565083
352.5	0.7990811682	0.8822229191	0.7159394173
353	0.7991857065	0.8839536947	0.7144177182
353.5	0.7992778452	0.885664188	0.7128915025
354	0.7993576834	0.8873545064	0.7113608604
354.5	0.7994253208	0.8890247603	0.7098258814
355	0.7994808584	0.890675063	0.7082866538
355.5	0.799524398	0.8923055308	0.7067432651
356	0.7995560422	0.8939162826	0.7051958018
356.5	0.7995758947	0.89550744	0.7036443494
357	0.7995840597	0.897079127	0.7020889925
357.5	0.7995806426	0.8986314704	0.7005298148
358	0.7995657491	0.9001645989	0.6989668992
358.5	0.7995394858	0.901678644	0.6974003275
359	0.79950196	0.9031737389	0.695830181
359.5	0.7994532795	0.9046500193	0.6942565398
360	0.7993935529	0.9061076226	0.6926794832
360.5	0.7993228892	0.9075466883	0.69109909
361	0.7992413979	0.9089673579	0.6895154379
361.5	0.7991491891	0.9103697744	0.6879286039
362	0.7990463734	0.9117540826	0.6863386642
362.5	0.7989330618	0.9131204292	0.6847456944
363	0.7988093657	0.9144689621	0.6831497693
363.5	0.7986753969	0.9157998309	0.6815509629
364	0.7985312676	0.9171131866	0.6799493487
364.5	0.7983770904	0.9184091817	0.6783449992
365	0.7982129782	0.9196879698	0.6767379867
365.5	0.7980390443	0.920949706	0.6751283825
366	0.797855402	0.9221945465	0.6735162575
366.5	0.7976621654	0.9234226487	0.671901682
367	0.7974594484	0.9246341711	0.6702847256
367.5	0.7972473654	0.9258292732	0.6686654576
368	0.7970260312	0.9270081157	0.6670439466
368.5	0.7967955606	0.9281708603	0.6654202608
369	0.7965560687	0.9293176695	0.663794468
369.5	0.7963076712	0.9304487069	0.6621666354
370	0.7960504835	0.9315641369	0.6605368301
370.5	0.7957846218	0.932664125	0.6589051186
371	0.7955102022	0.9337488373	0.6572715672
371.5	0.7952273414	0.9348184409	0.6556362419
372	0.7949361561	0.9358731039	0.6539992084
372.5	0.7946367636	0.936912995	0.6523605323
373	0.7943292815	0.937938284	0.650720279
373.5	0.7940138276	0.9389491414	0.6490785138
374	0.7936905203	0.9399457386	0.647435302
374.5	0.7933594784	0.940928248	0.6457907088
375	0.7930208212	0.9418968429	0.6441447995
375.5	0.7926746686	0.9428516974	0.6424976398
376	0.7923211411	0.943792987	0.6408492951
376.5	0.7919603597	0.944720888	0.6391998315
377	0.7915924464	0.9456355777	0.6375493152
377.5	0.791217524	0.946537235	0.6358978131
378	0.7908357161	0.9474260397	0.6342453924
378.5	0.7904471473	0.9483021734	0.6325921212
379	0.7900519436	0.9491658189	0.6309380683
379.5	0.789650232	0.9500171609	0.6292833032
380	0.7892421412	0.9508563856	0.6276278968
380.5	0.7888278013	0.9516836815	0.625971921
381	0.7884073442	0.9524992391	0.6243154493
381.5	0.787980904	0.9533032514	0.6226585565
382	0.7875486168	0.9540959141	0.6210013195
382.5	0.7871106214	0.9548774257	0.6193438171
383	0.7866670593	0.9556479881	0.6176861305
383.5	0.7862180753	0.956407807	0.6160283437
384	0.7857638178	0.9571570921	0.6143705434
384.5	0.7853044389	0.9578960577	0.6127128201
385	0.7848400956	0.9586249234	0.6110552679
385.5	0.78437095	0.9593439145	0.6093979854
386	0.7838971698	0.9600532633	0.6077410764
386.5	0.7834189297	0.9607532092	0.6060846502
387	0.7829364115	0.9614440004	0.6044288226
387.5	0.7824498061	0.962125895	0.6027737171
388	0.7819593139	0.9627991621	0.6011194657
388.5	0.781465147	0.9634640837	0.5994662102
389	0.7809675304	0.9641209569	0.5978141039
389.5	0.7804667047	0.964770096	0.5961633135
390	0.7799629282	0.9654118353	0.594514021
390.5	0.77945648	0.9660465331	0.5928664268
391	0.7789476639	0.9666745754	0.5912207525
391.5	0.7784368134	0.9672963813	0.5895772455
392	0.7779242965	0.9679124098	0.5879361833
392.5	0.7774105241	0.9685231676	0.5862978805
393	0.7768959581	0.9691292199	0.5846626964
393.5	0.7763811243	0.9697312035	0.5830310451
394	0.7758666271	0.9703298447	0.5814034096
394.5	0.7753531705	0.9709259823	0.5797803587
395	0.7748415859	0.9715205997	0.5781625721
395.5	0.7743328706	0.972114868	0.5765508731
396	0.7738282426	0.9727102089	0.5749462763
396.5	0.7733292203	0.9733083845	0.5733500561
397	0.7728377429	0.9739116346	0.5717638512
397.5	0.7723563598	0.9745228918	0.5701898278
398	0.7718885444	0.9751461386	0.5686309503
398.5	0.7714392482	0.9757870376	0.5670914588
399	0.7710159653	0.9764541447	0.5655777858
399.5	0.7706310318	0.9771615299	0.5641005336
400	0.7703075298	0.9779355136	0.562679546
400.5	0.7700996507	0.9788379249	0.5613613765
401	0.7702386006	0.9801329901	0.560344211
401.5	0.7706540739	0.9785866929	0.5627214548
402	0.7700128803	0.9772696257	0.5627561349
402.5	0.7693279521	0.9764038217	0.5622520825
403	0.7686268998	0.9757570868	0.5614967127
403.5	0.7679183122	0.9752499053	0.5605867191
404	0.7672059907	0.9748430341	0.5595689472
404.5	0.7664919008	0.9745134105	0.558470391
405	0.7657771449	0.974245967	0.5573083227
405.5	0.7650623658	0.9740301262	0.5560946055
406	0.7643479409	0.9738580654	0.5548378164
406.5	0.7636340845	0.9737237651	0.5535444038
407	0.7629209066	0.9736224471	0.5522193662
407.5	0.7622084488	0.9735502221	0.5508666755
408	0.7614967062	0.973503859	0.5494895534
408.5	0.7607856423	0.9734806266	0.548090658
409	0.7600751987	0.973478183	0.5466722144
409.5	0.7593653023	0.9734944954	0.5452361093
410	0.7586558699	0.97352778	0.5437839598
410.5	0.7579468115	0.9735764578	0.5423171652
411	0.757238033	0.9736391193	0.5408369467
411.5	0.7565294381	0.9737144978	0.5393443785
412	0.7558209295	0.9738014478	0.5378404112
412.5	0.7551124099	0.9738989279	0.5363258918
413	0.7544037828	0.9740059867	0.534801579
413.5	0.7536949533	0.9741217512	0.5332681555
414	0.7529858282	0.9742454174	0.5317262389
414.5	0.7522763162	0.9743762424	0.5301763899
415	0.7515663286	0.9745135376	0.5286191196
415.5	0.7508557792	0.9746566629	0.5270548954
416	0.7501445843	0.9748050221	0.5254841465
416.5	0.749432663	0.9749580582	0.5239072678
417	0.7487199371	0.9751152504	0.5223246237
417.5	0.7480063312	0.9752761106	0.5207365517
418	0.7472917725	0.9754401806	0.5191433645
418.5	0.7465761914	0.9756070297	0.517545353
419	0.7458595205	0.9757762526	0.5159427883
419.5	0.7451416954	0.9759474676	0.5143359232
420	0.7444226543	0.9761203145	0.5127249942
